received,confirmed,name,nom_count,agency,duplicate,committee,latest_action,latest_action_date,potus,desc
3/21/17,yes,Courtney Elwood,1,Central Intelligence Agency,no,Intelligence,Confirmed by the Senate by Yea-Nay Vote. 67, 06/06/2017,Obama,"Courtney Elwood, of Virginia, to be General Counsel of the Central Intelligence Agency, vice Caroline Diane Krass, resigned."
1/20/17,yes,Mike Pompeo,1,Central Intelligence Agency,no,Intelligence,Confirmed by the Senate by Yea-Nay Vote. 66, 01/23/2017,Obama,"Mike Pompeo, of Kansas, to be Director of the Central Intelligence Agency, vice John Owen Brennan."
1/20/17,yes,,1,Civilian,no,Foreign Relations,Confirmed by the Senate by Yea-Nay Vote. 82, 05/22/2017,Obama,
6/12/17,no,Dawn DeBerry Stump,1,Commodity Futures Trading Commission,no,"Agriculture, Nutrition, and Forestry","Received in the Senate and referred to the Committee on Agriculture, Nutrition, and Forestry. (", 06/12/2017,Obama,"Dawn DeBerry Stump, of Texas, to be a Commissioner of the Commodity Futures Trading Commission for a term expiring April 13, 2022, vice Timothy G. Massad resigned."
5/16/17,no,Brian D. Quintenz,1,Commodity Futures Trading Commission,no,"Agriculture, Nutrition, and Forestry","Received in the Senate and referred to the Committee on Agriculture, Nutrition, and Forestry. (", 05/16/2017,Obama,"Brian D. Quintenz, of Ohio, to be a Commissioner of the Commodity Futures Trading Commission for a term expiring April 13, 2020, vice Scott O'Malia, resigned."
5/10/17,no,J. Christopher Giancarlo,1,Commodity Futures Trading Commission,no,"Agriculture, Nutrition, and Forestry","Committee on Agriculture, Nutrition, and Forestry. Hearings held. (", 06/22/2017,Obama,"J. Christopher Giancarlo, of New Jersey, to be Chairman of the Commodity Futures Trading Commission, vice Timothy G. Massad, resigned."
3/9/17,yes,Sonny Perdue,1,Department of Agriculture,no,"Agriculture, Nutrition, and Forestry",Confirmed by the Senate by Yea-Nay Vote. 87, 04/24/2017,Obama,"Sonny Perdue, of Georgia, to be Secretary of Agriculture."
6/19/17,no,Michael Platt Jr.,1,Department of Commerce,no,See S. Res. 116 - 112th Congress,"Placed on Senate Executive Calendar in the Privileged Nomination section with nominee information requested by the Committee on Commerce, Science, and Transportation, pursuant to S.Res. 116, 112th Congress. (", 06/19/2017,Obama,"Michael Platt, Jr., of Arkansas, to be an Assistant Secretary of Commerce, vice Steven Michael Haro, resigned."
6/6/17,no,Elizabeth Erin Walsh,1,Department of Commerce,no,"Banking, Housing, and Urban Affairs, Commerce, Science, and Transportation","Referred jointly to the Committees on Banking, Housing, and Urban Affairs; Commerce, Science, and Transportation by unanimous consent. (", 06/12/2017,Obama,"Elizabeth Erin Walsh, of the District of Columbia, to be Assistant Secretary of Commerce and Director General of the United States and Foreign Commercial Service, vice Arun Madhavan Kumar."
5/25/17,no,Gilbert B. Kaplan,1,Department of Commerce,no,Finance,Received in the Senate and referred to the Committee on Finance. (, 05/25/2017,Obama,"Gilbert B. Kaplan, of the District of Columbia, to be Under Secretary of Commerce for International Trade, vice Stefan M. Selig, resigned."
5/25/17,no,Karen Dunn Kelley,1,Department of Commerce,no,"Commerce, Science, and Transportation","Received in the Senate and referred to the Committee on Commerce, Science, and Transportation. (", 05/25/2017,Obama,"Karen Dunn Kelley, of Pennsylvania, to be Under Secretary of Commerce for Economic Affairs, vice Mark Doms, resigned."
5/25/17,no,Richard Ashooh,1,Department of Commerce,no,"Banking, Housing, and Urban Affairs","Received in the Senate and referred to the Committee on Banking, Housing, and Urban Affairs. (", 05/25/2017,Obama,"Richard Ashooh, of New Hampshire, to be an Assistant Secretary of Commerce, vice Kevin Wolf, resigned."
